service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0,1,1,1,1,1,1,1,20210107,20210131
1,0,0,0,0,0,1,0,20210109,20210220
10,1,0,0,1,1,1,1,20210108,20210220
100,1,0,0,0,1,1,1,20210205,20210220
101,0,0,1,0,0,1,0,20210203,20210220
102,0,0,0,0,1,0,1,20210110,20210219
103,1,1,1,1,1,1,1,20210107,20210219
104,0,1,0,0,1,0,1,20210108,20210219
105,1,0,0,0,1,1,1,20210111,20210117
106,0,1,0,1,0,1,0,20210108,20210220
107,1,1,1,1,1,1,1,20210112,20210220
108,1,1,0,0,1,1,1,20210109,20210219
109,1,1,1,1,1,1,1,20210204,20210219
11,1,0,1,0,0,1,0,20210109,20210220
110,0,1,0,0,0,0,0,20210112,20210216
111,0,0,0,1,1,1,0,20210218,20210220
112,0,0,0,0,1,0,1,20210108,20210110
113,1,1,1,1,1,1,1,20210115,20210220
114,1,1,1,1,1,0,0,20210125,20210219
115,1,1,1,1,1,1,1,20210108,20210220
116,1,1,1,1,1,1,1,20210108,20210220
117,0,0,0,0,1,1,1,20210108,20210220
118,1,1,1,1,1,1,1,20210107,20210218
119,1,1,0,0,0,0,0,20210109,20210216
12,0,0,0,0,0,0,1,20210110,20210214
120,0,0,0,1,1,1,0,20210108,20210220
121,0,0,0,1,0,0,1,20210107,20210218
122,1,1,1,1,1,1,1,20210107,20210220
123,0,1,0,1,0,1,0,20210107,20210130
124,0,0,0,0,1,0,1,20210205,20210219
125,0,0,0,0,0,0,1,20210110,20210110
126,1,0,0,1,1,0,1,20210107,20210219
127,1,1,1,1,1,1,1,20210107,20210220
128,1,1,1,1,1,1,1,20210107,20210131
129,0,1,1,1,1,1,1,20210108,20210114
13,0,0,0,0,1,0,0,20210108,20210219
130,0,0,1,0,0,0,1,20210110,20210217
131,0,0,0,1,0,0,0,20210109,20210211
132,1,0,1,0,1,0,1,20210108,20210131
133,0,0,1,1,1,1,1,20210210,20210220
134,1,0,0,0,0,0,0,20210111,20210215
135,1,1,1,1,1,1,1,20210107,20210220
136,1,0,0,0,1,1,1,20210109,20210220
137,1,1,1,1,1,1,1,20210107,20210220
138,1,0,1,1,1,1,1,20210122,20210220
139,0,0,0,0,0,1,0,20210123,20210220
14,1,1,1,1,1,1,1,20210111,20210117
140,0,1,0,0,1,0,0,20210107,20210219
141,1,0,0,0,1,0,0,20210108,20210219
142,1,1,1,1,1,1,1,20210107,20210220
143,1,0,0,0,0,0,0,20210111,20210125
144,1,1,1,1,1,0,0,20210108,20210219
145,0,0,1,0,1,0,1,20210107,20210219
146,0,1,0,0,1,0,0,20210108,20210129
147,0,1,0,1,0,1,0,20210109,20210130
148,0,0,1,0,0,0,0,20210113,20210217
149,1,0,0,1,0,0,1,20210110,20210218
15,0,1,0,1,0,1,0,20210202,20210220
150,1,1,1,1,1,0,0,20210108,20210219
151,1,0,0,0,1,0,0,20210205,20210219
152,0,1,0,1,0,1,0,20210109,20210220
153,1,1,1,1,1,1,1,20210107,20210220
154,1,0,0,0,1,1,0,20210108,20210220
155,0,1,1,1,0,0,0,20210119,20210218
156,0,1,0,0,0,1,0,20210109,20210220
157,1,1,1,1,1,1,0,20210108,20210220
158,1,0,0,1,1,1,1,20210204,20210220
159,1,0,0,1,1,1,1,20210108,20210220
16,1,0,0,1,0,1,0,20210109,20210220
160,0,0,0,0,1,0,0,20210212,20210219
161,0,1,0,1,0,0,1,20210107,20210218
162,0,0,0,0,1,1,1,20210108,20210220
163,0,0,0,0,1,1,1,20210122,20210220
164,1,0,0,0,1,0,0,20210111,20210219
165,1,1,1,1,1,1,1,20210112,20210220
166,1,1,1,1,1,1,1,20210113,20210131
167,1,0,0,0,1,1,1,20210108,20210220
168,0,0,0,0,0,0,1,20210124,20210214
169,1,1,1,1,1,1,1,20210108,20210219
17,1,1,1,1,1,1,1,20210107,20210131
170,1,1,1,1,1,1,1,20210116,20210220
171,1,0,0,0,0,0,1,20210110,20210111
172,0,0,0,1,0,0,1,20210110,20210218
173,1,0,0,0,0,0,0,20210201,20210215
174,0,0,0,1,1,1,1,20210204,20210219
175,0,0,0,0,0,0,1,20210110,20210131
176,1,1,1,1,1,1,1,20210107,20210131
177,1,0,0,1,1,1,1,20210114,20210220
178,1,0,0,1,0,0,1,20210201,20210218
179,1,0,0,0,1,1,1,20210108,20210220
18,1,1,1,1,1,1,1,20210108,20210220
180,1,0,0,0,1,0,0,20210108,20210219
181,0,0,0,1,0,0,1,20210114,20210218
182,1,1,1,1,1,0,0,20210113,20210219
183,0,0,0,1,0,0,0,20210107,20210107
184,1,0,0,0,1,0,0,20210110,20210219
185,1,1,0,0,1,1,1,20210110,20210220
186,0,0,0,0,1,0,1,20210108,20210131
187,1,1,1,1,0,0,1,20210110,20210218
188,0,0,0,0,0,1,0,20210220,20210220
189,1,0,0,1,1,1,1,20210107,20210111
19,1,1,1,1,1,0,1,20210108,20210219
190,0,0,0,1,1,1,1,20210107,20210220
191,0,0,0,1,0,0,1,20210109,20210218
192,1,1,1,1,1,1,1,20210109,20210220
