service_id,date,exception_type
0,20210108,2
0,20210109,2
106,20210108,1
106,20210110,1
106,20210111,1
108,20210112,2
108,20210119,2
108,20210126,2
115,20210109,2
115,20210110,2
115,20210112,2
115,20210113,2
116,20210113,2
116,20210114,2
116,20210116,2
116,20210120,2
116,20210121,2
116,20210123,2
116,20210127,2
116,20210128,2
116,20210130,2
118,20210108,2
118,20210110,2
118,20210112,2
118,20210114,2
118,20210116,2
118,20210118,2
118,20210120,2
118,20210122,2
118,20210124,2
118,20210126,2
118,20210128,2
118,20210130,2
118,20210201,2
118,20210203,2
118,20210205,2
118,20210207,2
118,20210209,2
118,20210211,2
118,20210213,2
118,20210215,2
118,20210217,2
119,20210109,1
119,20210110,1
122,20210110,2
126,20210109,1
127,20210110,2
127,20210112,2
128,20210111,2
128,20210113,2
131,20210109,1
131,20210114,2
131,20210128,2
131,20210204,2
135,20210109,2
135,20210110,2
135,20210111,2
137,20210108,2
140,20210107,1
141,20210110,1
141,20210111,2
142,20210108,2
142,20210110,2
142,20210112,2
142,20210114,2
142,20210116,2
142,20210118,2
142,20210120,2
142,20210122,2
142,20210124,2
142,20210126,2
142,20210128,2
142,20210130,2
142,20210201,2
142,20210203,2
142,20210205,2
142,20210207,2
142,20210209,2
142,20210211,2
142,20210213,2
142,20210215,2
142,20210217,2
142,20210219,2
144,20210111,2
144,20210112,2
145,20210107,1
145,20210109,1
150,20210111,2
150,20210112,2
150,20210113,2
150,20210114,2
153,20210109,2
153,20210111,2
153,20210113,2
153,20210116,2
153,20210118,2
153,20210120,2
153,20210123,2
153,20210125,2
153,20210127,2
153,20210130,2
154,20210211,1
154,20210218,1
156,20210117,1
157,20210112,2
157,20210119,2
157,20210126,2
157,20210207,1
157,20210214,1
159,20210207,2
159,20210214,2
161,20210108,1
161,20210109,1
162,20210115,2
162,20210122,2
162,20210129,2
165,20210113,2
165,20210114,2
167,20210116,2
167,20210123,2
167,20210130,2
169,20210109,2
169,20210111,2
169,20210113,2
169,20210115,2
169,20210117,2
169,20210119,2
169,20210121,2
169,20210123,2
169,20210125,2
169,20210127,2
169,20210129,2
169,20210131,2
169,20210202,2
169,20210204,2
169,20210206,2
169,20210208,2
169,20210210,2
169,20210212,2
169,20210214,2
169,20210216,2
169,20210218,2
176,20210109,2
176,20210110,2
179,20210111,2
184,20210110,1
185,20210112,2
185,20210119,2
185,20210126,2
190,20210123,2
190,20210124,2
190,20210130,2
190,20210131,2
191,20210109,1
192,20210110,2
193,20210120,2
193,20210203,2
194,20210210,1
194,20210217,1
196,20210115,2
196,20210122,2
196,20210129,2
197,20210208,2
197,20210209,2
197,20210210,2
197,20210215,2
197,20210216,2
197,20210217,2
200,20210111,1
200,20210113,2
200,20210114,2
200,20210115,2
200,20210116,2
200,20210117,2
200,20210120,2
200,20210121,2
200,20210122,2
200,20210123,2
200,20210124,2
200,20210127,2
200,20210128,2
200,20210129,2
200,20210130,2
200,20210131,2
203,20210109,2
203,20210110,2
203,20210111,2
204,20210208,2
204,20210209,2
204,20210210,2
206,20210110,1
210,20210110,1
214,20210204,2
214,20210211,2
215,20210118,1
216,20210111,2
216,20210112,2
216,20210113,2
216,20210114,2
216,20210115,2
216,20210117,2
216,20210118,2
216,20210119,2
216,20210120,2
216,20210121,2
216,20210122,2
216,20210124,2
216,20210125,2
216,20210126,2
216,20210127,2
216,20210128,2
216,20210129,2
216,20210131,2
217,20210115,2
217,20210122,2
217,20210129,2
217,20210208,1
217,20210215,1
21,20210109,2
220,20210218,2
220,20210220,1
221,20210109,1
222,20210109,2
222,20210110,2
222,20210113,2
224,20210108,1
229,20210112,2
229,20210114,2
229,20210119,2
229,20210121,2
229,20210126,2
229,20210128,2
22,20210109,1
22,20210110,1
22,20210111,2
22,20210112,2
22,20210118,2
22,20210119,2
22,20210125,2
22,20210126,2
230,20210109,1
230,20210111,2
230,20210112,2
230,20210118,2
230,20210119,2
230,20210125,2
230,20210126,2
232,20210114,2
232,20210115,2
232,20210116,2
232,20210121,2
232,20210122,2
