route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
FLIXBUS:080,FLIXBUS,FlixBus,Dortmund - London,,3,,73D700,FFFFFF
FLIXBUS:1000,FLIXBUS,FlixBus,Porto - Lisbon,,3,,73D700,FFFFFF
FLIXBUS:1001,FLIXBUS,FlixBus,Braga - Porto - Lisbon - Évora,,3,,73D700,FFFFFF
FLIXBUS:1004,FLIXBUS,FlixBus,Braga - Porto - Lisbon,,3,,73D700,FFFFFF
FLIXBUS:1005,FLIXBUS,FlixBus,Guimaraes - Porto - Lisbon,,3,,73D700,FFFFFF
FLIXBUS:1010,FLIXBUS,FlixBus,Porto - Lisbon - Faro,,3,,73D700,FFFFFF
FLIXBUS:1243,FLIXBUS,FlixBus,Warsaw - Lublin,,3,,73D700,FFFFFF
FLIXBUS:1261A,FLIXBUS,FlixBus,Warsaw - Radom - Cracow - Zakopane,,3,,73D700,FFFFFF
FLIXBUS:1369,FLIXBUS,FlixBus,Cieszyn - Katowice - Krakow,,3,,73D700,FFFFFF
FLIXBUS:1518,FLIXBUS,FlixBus,Naples - Milan,,3,,73D700,FFFFFF
FLIXBUS:1553,FLIXBUS,FlixBus,Macerata - Rome FCO ✈,,3,,73D700,FFFFFF
FLIXBUS:1554,FLIXBUS,FlixBus,Ancona - Rome FCO ✈,,3,,73D700,FFFFFF
FLIXBUS:1574,FLIXBUS,FlixBus,Napoli - Bari,,3,,73D700,FFFFFF
FLIXBUS:1704,FLIXBUS,FlixBus,Paris - Nantes - Lorient,,3,,73D700,FFFFFF
FLIXBUS:1728,FLIXBUS,FlixBus,Marseille - Barcelona,,3,,73D700,FFFFFF
FLIXBUS:1747,FLIXBUS,FlixBus,Tourcoing/Lille - Paris,,3,,73D700,FFFFFF
FLIXBUS:1755,FLIXBUS,FlixBus,Lille - Paris Bercy -  Paris Orly,,3,,73D700,FFFFFF
FLIXBUS:1756,FLIXBUS,FlixBus,B Paris - Reims,,3,,73D700,FFFFFF
FLIXBUS:1774,FLIXBUS,FlixBus,Caen - Paris,,3,,73D700,FFFFFF
FLIXBUS:1776,FLIXBUS,FlixBus,Clermont-Ferrand - Lyon - Lyon Aeroport - Grenoble,,3,,73D700,FFFFFF
FLIXBUS:1782,FLIXBUS,FlixBus,Paris - Rennes - Lorient/Quimper,,3,,73D700,FFFFFF
FLIXBUS:1783,FLIXBUS,FlixBus,Ferrol - Porto - Lisbon,,3,,73D700,FFFFFF
FLIXBUS:1921,FLIXBUS,FlixBus,Bucharest - Grenoble,,3,,73D700,FFFFFF
FLIXBUS:1922,FLIXBUS,FlixBus,Bucharest - Barcelona/Bordeaux,,3,,73D700,FFFFFF
FLIXBUS:1923,FLIXBUS,FlixBus,Bucharest - Paris - Rennes,,3,,73D700,FFFFFF
FLIXBUS:1925,FLIXBUS,FlixBus,Bucharest - Dortmund,,3,,73D700,FFFFFF
FLIXBUS:1926,FLIXBUS,FlixBus,Bucharest - Hamburg/Meppen,,3,,73D700,FFFFFF
FLIXBUS:1929,FLIXBUS,FlixBus,Bucharest - Munich - Brussels,,3,,73D700,FFFFFF
FLIXBUS:1940,FLIXBUS,FlixBus,Varna - Bucharest (Feeder line),,3,,73D700,FFFFFF
FLIXBUS:1941,FLIXBUS,FlixBus,Tulcea - Bucharest (Feeder line),,3,,73D700,FFFFFF
FLIXBUS:1942,FLIXBUS,FlixBus,Galati - Bucharest (Feeder line),,3,,73D700,FFFFFF
FLIXBUS:1943,FLIXBUS,FlixBus,Vaslui - Ploiesti (Feeder line),,3,,73D700,FFFFFF
FLIXBUS:1944,FLIXBUS,FlixBus,Iasi -  Brasov (Feeder line),,3,,73D700,FFFFFF
FLIXBUS:1946,FLIXBUS,FlixBus,Targoviste  - Sibiu (Feeder line),,3,,73D700,FFFFFF
FLIXBUS:1948,FLIXBUS,FlixBus,Alexandria - Deva (Feeder line),,3,,73D700,FFFFFF
FLIXBUS:1949,FLIXBUS,FlixBus,Botosani - Sebes (Feeder line),,3,,73D700,FFFFFF
FLIXBUS:1950,FLIXBUS,FlixBus,Arad - Timisoara - Sofia (feeder line),,3,,73D700,FFFFFF
FLIXBUS:3241,FLIXBUS,FlixBus,Chernivtsi - Lviv - Warszawa,,3,,73D700,FFFFFF
FLIXBUS:402,FLIXBUS,FlixBus,Turin - Zagreb,,3,,73D700,FFFFFF
FLIXBUS:466,FLIXBUS,FlixBus,Rome - Venice - Klagenfurt,,3,,73D700,FFFFFF
FLIXBUS:480,FLIXBUS,FlixBus,Bergamo - Lyon/Turin,,3,,73D700,FFFFFF
FLIXBUS:486,FLIXBUS,FlixBus,Bologna - Munich,,3,,73D700,FFFFFF
FLIXBUS:520,FLIXBUS,FlixBus,Milan - Florence - Rome,,3,,73D700,FFFFFF
FLIXBUS:537,FLIXBUS,FlixBus,Florence - Venice - Zagreb,,3,,73D700,FFFFFF
FLIXBUS:551,FLIXBUS,FlixBus,Ancona/Porto d'Ascoli/Ascoli Piceno - Rome FCO ✈/Rome,,3,,73D700,FFFFFF
FLIXBUS:556,FLIXBUS,FlixBus,Ancona - Naples,,3,,73D700,FFFFFF
FLIXBUS:562,FLIXBUS,FlixBus,Taranto - Rome CIA ✈,,3,,73D700,FFFFFF
FLIXBUS:573,FLIXBUS,FlixBus,Rome - Benevento - Bari - Lecce,,3,,73D700,FFFFFF
FLIXBUS:574,FLIXBUS,FlixBus,Rome FCO ✈ - Pescara - Foggia - SGR,,3,,73D700,FFFFFF
FLIXBUS:581,FLIXBUS,FlixBus,Crotone - Naples - Caserta,,3,,73D700,FFFFFF
FLIXBUS:582,FLIXBUS,FlixBus,Cariati - Catania,,3,,73D700,FFFFFF
FLIXBUS:589,FLIXBUS,FlixBus,Crotone - Rome,,3,,73D700,FFFFFF
FLIXBUS:600,FLIXBUS,FlixBus,Oslo - Stockholm,,3,,73D700,FFFFFF
FLIXBUS:601,FLIXBUS,FlixBus,Uppsala - Gothenburg,,3,,73D700,FFFFFF
FLIXBUS:602,FLIXBUS,FlixBus,Copenhagen - Stockholm,,3,,73D700,FFFFFF
FLIXBUS:603,FLIXBUS,FlixBus,Malmö - Gothenburg,,3,,73D700,FFFFFF
FLIXBUS:606,FLIXBUS,FlixBus,Linköping - Gothenburg,,3,,73D700,FFFFFF
FLIXBUS:607,FLIXBUS,FlixBus,Stockholm - Jönköping -Växjö,,3,,73D700,FFFFFF
FLIXBUS:611,FLIXBUS,FlixBus,Jönköping-Gothenburg,,3,,73D700,FFFFFF
FLIXBUS:612,FLIXBUS,FlixBus,Uppsala - Kalmar,,3,,73D700,FFFFFF
FLIXBUS:613,FLIXBUS,FlixBus,Copenhagen-Oslo,,3,,73D700,FFFFFF
FLIXBUS:620,FLIXBUS,FlixBus,Aarhus-Copenhagen,,3,,73D700,FFFFFF
FLIXBUS:621,FLIXBUS,FlixBus,Aalborg - Randers - Aarhus - Copenhagen,,3,,73D700,FFFFFF
FLIXBUS:632,FLIXBUS,FlixBus,Viborg - Silkeborg - Copenhagen,,3,,73D700,FFFFFF
FLIXBUS:700,FLIXBUS,FlixBus,Paris - London,,3,,73D700,FFFFFF
FLIXBUS:704,FLIXBUS,FlixBus,Paris-Nantes,,3,,73D700,FFFFFF
