stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
FLIXBUS:29368,,"Concarneau, Concarneau Nord","Arrêt de bus près de l'aire de covoiturage, 29900 Concarneau, France",47.922000,-3.901626,,,0,,Europe/Paris,2,
FLIXBUS:48771,,"Afyon, Afyon bus station","Ertugrul Gazi Mah.Küme Evler, 03200 Afyon, Turkey",38.790436,30.510664,,,0,,Europe/Istanbul,2,
FLIXBUS:20258,,Karlobag,"Obala Vladimira Nazora, 53288 Karlobag, Croatia",44.526712,15.071401,,,0,,Europe/Zagreb,2,
FLIXBUS:53121,,"İzmir, Izmir otogar tesis","Yeni Otogar No:141-142 Izmir, 35070 izmir, Turkey",38.430750,27.213881,,,0,,Europe/Istanbul,2,
FLIXBUS:20328,,"Plomin, Vozilići","Vozilići bb, 52234 Plomin, Croatia",45.156909,14.163416,,,0,,Europe/Zagreb,2,
FLIXBUS:55621,,"Žďár nad Sázavou, Žďár n.Sáz.,,zámek","Santiniho, 591 01 Žďár nad Sázavou, Czech Republic, 591 01 Žďár nad Sázavou, Czech Republic",49.582756,15.935566,,,0,,Europe/Prague,2,
FLIXBUS:55631,,"Žďár nad Sázavou, Žďár n.Sáz.,,aut.nádr","Žďár n.Sáz., aut.nádr, Nádražní, 591 01 Žďár nad Sázavou, Czech Republic, 591 01 Žďár nad Sázavou, Czech Republic",49.553974,15.941066,,,0,,Europe/Prague,2,
FLIXBUS:39841,,"Amarante, Amarante (Bus Station)","Rua dos Combatentes do Ultramar, 4600-098 Amarante, Portugal",41.266085,-8.071954,,,0,,Europe/Lisbon,2,
FLIXBUS:52441,,"Horasan, Horasan merkez","Horasan, Adnan Menderes, 25800 Horasan/Erzurum, Turkey, 25800 Horsan Erzurum, Turkey",40.039374,42.168808,,,0,,Europe/Istanbul,2,
FLIXBUS:27468,,Torre Melissa,"SS 106 Jonica - pensilina bar Fox, 88814 Torre Melissa, Italy",39.304247,17.107893,,,0,,Europe/Rome,2,
FLIXBUS:55971,,"Greensboro, NC, Greensboro (W Gate City Blvd)","3703 W Gate City Blvd, 27407 Greensboro, USA",36.038123,-79.850769,,,0,,America/New_York,2,
FLIXBUS:28778,,"Sosnowiec, Sosnowiec, Dworzec Kolejowy","ul. 3 Maja 18, 41-200 Sosnowiec, Poland",50.278447,19.127098,,,0,,Europe/Warsaw,2,
FLIXBUS:40721,,"Fafe, Fafe (Bus Station)","Avenida do Brasil, 4820-142 Fafe, Portugal",41.449402,-8.176115,,,0,,Europe/Lisbon,2,
FLIXBUS:28028,,"Osimo, Osimo stazione","SS16 Via Adriatica - Stazione FS, 60027 Osimo, Italy",43.496495,13.547190,,,0,,Europe/Rome,2,
FLIXBUS:50631,,Zagvozd,"D62 - Ulica Franje Tuđmana 65, 21270 Zagvozd, Croatia",43.398857,17.051275,,,0,,Europe/Zagreb,2,
FLIXBUS:52521,,Keşap,"Fındıklı, 28900 Keşap/Giresun, Turkey, 28900 Keşap, Turkey",40.917271,38.520644,,,0,,Europe/Istanbul,2,
FLIXBUS:29628,,Mola di Bari,"Via della Pace 6, 70042 Mola di Bari, Italy",41.055432,17.079056,,,0,,Europe/Rome,2,
FLIXBUS:39091,,"Sant Feliu de Guixols, Sant Feliu de Guíxols","Camí dels Enamorats, 24, 17220 Sant Feliu de Guíxols, Spain",41.780778,3.022477,,,0,,Europe/Madrid,2,
FLIXBUS:54741,,Juršići,"Juršići 1, 52342 Juršići, Croatia",45.020387,13.872384,,,0,,Europe/Zagreb,2,
FLIXBUS:6218,,"Naples, Naples (Metropark Centrale)","Corso Arnaldo Lucci 156, 80142 Napoli, Italy",40.850931,14.273617,,,0,,Europe/Rome,2,
FLIXBUS:52,,Essen,"Freiheit 5a, 45127 Essen, Germany",51.450253,7.014610,,,0,,Europe/Berlin,2,
FLIXBUS:40311,,"Seia, Seia (Bus Station)","Av. Dr. Afonso Costa 30, 6270-481 Seia, Portugal",40.420182,-7.706446,,,0,,Europe/Lisbon,2,
FLIXBUS:31911,,"Vienna, Vienna Central Station","Südtiroler Platz 10, 1040 Wien, Austria",48.185256,16.372525,,,0,,Europe/Vienna,2,
FLIXBUS:48981,,"Düzce, Düzce bus station","Burhaniye Mahallesi, Atatürk Blv., 81010 Düzce Merkez/Düzce, Turkey",40.844573,31.165173,,,0,,Europe/Istanbul,2,
FLIXBUS:39431,,Alba Adriatica,"Via Giuseppe Mazzini 32, 64011 Alba Adriatica, Italy",42.832302,13.922844,,,0,,Europe/Rome,2,
FLIXBUS:12658,,"Pescara, Pescara Nord - Montesilvano","Via XXII Maggio 1944, 67/77, 65013 Città Sant'Angelo, Italy",42.522401,14.140826,,,0,,Europe/Rome,2,
FLIXBUS:15928,,"Macerata, Piediripa (Macerata)","Via Donato Bramante 90 (Fraz. Piediripa), 62100 Macerata, Italy",43.275844,13.486051,,,0,,Europe/Rome,2,
FLIXBUS:50051,,"Çayeli, Çayeli bus station","Eskipazar Mah Belediye Otogarı No:8, 53200 Çayeli, Turkey",41.086799,40.720820,,,0,,Europe/Istanbul,2,
FLIXBUS:40761,,Chaves,"Av. Santo Amaro 5, 5400-057 Santa Maria Maior, Portugal",41.740503,-7.476177,,,0,,Europe/Lisbon,2,
FLIXBUS:31251,,"Caltanissetta, Caltanissetta (Via Rochester)","Via Rochester, 93100 Caltanissetta, Italy",37.487484,14.058090,,,0,,Europe/Rome,2,
FLIXBUS:49481,,"Solhan, Solhan bus station","Yeni Mah. Mehmet Türksever Bulvarı, 12700 Solhan, Turkey",38.965991,41.052679,,,0,,Europe/Istanbul,2,
FLIXBUS:23008,,Cervera,"Carrer del Vidal de Montpalau, 0, 25200 Cervera, Spain",41.673812,1.273825,,,0,,Europe/Madrid,2,
FLIXBUS:6258,,"Grosseto, Grosseto (Stazione FS)","Piazza Marconi, 58100 Grosseto, Italy",42.767642,11.107248,,,0,,Europe/Rome,2,
FLIXBUS:50511,,Toprakcuma,"78600 Toprakcuma/Safranbolu/Karabük, 76800 toprakcuma, Turkey",41.200646,32.909825,,,0,,Europe/Istanbul,2,
