from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_route_id,to_route_id,from_trip_id,to_trip_id
FLIXBUS:14568,FLIXBUS:14568,3,,FLIXBUS:N963,FLIXBUS:1922,,
FLIXBUS:14568,FLIXBUS:14568,3,,FLIXBUS:N963,FLIXBUS:1926,,
FLIXBUS:6058,FLIXBUS:6058,3,,FLIXBUS:N1156,FLIXBUS:N1152,,
FLIXBUS:9138,FLIXBUS:9138,3,,FLIXBUS:N1157,FLIXBUS:N1152,,
FLIXBUS:16638,FLIXBUS:16638,3,,FLIXBUS:N1157,FLIXBUS:N1155,,
FLIXBUS:30721,FLIXBUS:30721,3,,FLIXBUS:793,FLIXBUS:N1154,,
FLIXBUS:2285,FLIXBUS:2285,3,,FLIXBUS:N1156,FLIXBUS:N1152,,
FLIXBUS:11558,FLIXBUS:11558,3,,FLIXBUS:N1156,FLIXBUS:N1152,,
FLIXBUS:16588,FLIXBUS:16588,3,,FLIXBUS:N1158,FLIXBUS:N1157,,
FLIXBUS:17218,FLIXBUS:17218,3,,FLIXBUS:N1157,FLIXBUS:N1152,,
FLIXBUS:3418,FLIXBUS:3418,3,,FLIXBUS:N1154,FLIXBUS:N1152,,
FLIXBUS:2655,FLIXBUS:2655,3,,FLIXBUS:N963,FLIXBUS:1922,,
FLIXBUS:19288,FLIXBUS:19288,3,,FLIXBUS:N1158,FLIXBUS:N1153,,
FLIXBUS:2655,FLIXBUS:2655,3,,FLIXBUS:N963,FLIXBUS:1926,,
FLIXBUS:16438,FLIXBUS:16438,3,,FLIXBUS:N1158,FLIXBUS:N1152,,
FLIXBUS:17228,FLIXBUS:17228,3,,FLIXBUS:N1158,FLIXBUS:N1152,,
FLIXBUS:16438,FLIXBUS:16438,3,,FLIXBUS:N1153,FLIXBUS:N1152,,
FLIXBUS:16378,FLIXBUS:16378,3,,FLIXBUS:N1157,FLIXBUS:N1155,,
FLIXBUS:17188,FLIXBUS:17188,3,,FLIXBUS:N1155,FLIXBUS:N1152,,
FLIXBUS:12068,FLIXBUS:12068,3,,FLIXBUS:N1158,FLIXBUS:N1152,,
FLIXBUS:6168,FLIXBUS:6168,3,,FLIXBUS:N1155,FLIXBUS:N1152,,
FLIXBUS:16898,FLIXBUS:16898,3,,FLIXBUS:N1155,FLIXBUS:N1152,,
FLIXBUS:39821,FLIXBUS:39821,3,,FLIXBUS:N1158,FLIXBUS:N1157,,
FLIXBUS:28478,FLIXBUS:28478,3,,FLIXBUS:793,FLIXBUS:N1154,,
FLIXBUS:12068,FLIXBUS:12068,3,,FLIXBUS:N1153,FLIXBUS:N1152,,
FLIXBUS:4548,FLIXBUS:4548,3,,FLIXBUS:N1157,FLIXBUS:N1151,,
FLIXBUS:4548,FLIXBUS:4548,3,,FLIXBUS:N1157,FLIXBUS:N1156,,
FLIXBUS:17228,FLIXBUS:17228,3,,FLIXBUS:N1153,FLIXBUS:N1152,,
FLIXBUS:4548,FLIXBUS:4548,3,,FLIXBUS:N1157,FLIXBUS:N1155,,
FLIXBUS:12068,FLIXBUS:12068,3,,FLIXBUS:N1154,FLIXBUS:N1152,,
FLIXBUS:14558,FLIXBUS:14558,3,,FLIXBUS:N963,FLIXBUS:1922,,
FLIXBUS:17438,FLIXBUS:17438,3,,FLIXBUS:N1153,FLIXBUS:N1152,,
FLIXBUS:14558,FLIXBUS:14558,3,,FLIXBUS:N963,FLIXBUS:1926,,
FLIXBUS:40651,FLIXBUS:40651,3,,FLIXBUS:N1157,FLIXBUS:N1155,,
FLIXBUS:6158,FLIXBUS:6158,3,,FLIXBUS:N1157,FLIXBUS:N1156,,
FLIXBUS:16928,FLIXBUS:16928,3,,FLIXBUS:N1157,FLIXBUS:N1152,,
FLIXBUS:6158,FLIXBUS:6158,3,,FLIXBUS:N1157,FLIXBUS:N1155,,
